Идентификационный ключ инцидента операционного риска,Идентификатор события,Статус события,Признак авторегистрации инцидента,Кем выявлено событие,Название источника,Тип источника инцидента (уровень 1),Тип источника инцидента (уровень 2),Тип события – уровень 1,Тип события – уровень 2,Дата обнаружения (Событие),Дата начала инцидента операционного риска,Дата ввода (Событие),Дата первого подтверждения,Дата последнего подтверждения,Идентификатор профиля риска,Наименование профиля риска,Тип клиента,Количество ошибок,Номер заявки,Номер договора,Идентификатор договора,Предварительное описание,Подробное описание,Идентификатор оргструктуры,Орг. структура – уровень 2 (Терр. структура / Департамент ДЗО),Орг. структура – уровень 3 (Блок / ТБ / ПЦП),Орг. структура – уровень 4 (Дивизион / Департамент),Орг. структура – уровень 5,Орг. структура – уровень 6,Орг. структура – уровень 7,Орг. структура – уровень 8,Орг. структура – уровень 9,Орг. структура – уровень 10,Идентификатор функционального блока,Функциональный блок – уровень 2,Функциональный блок – уровень 3,Функциональный блок – уровень 4,Процесс – уровень 1,Процесс – уровень 2,Процесс – уровень 3,Процесс – уровень 4 (Наименование процесса),Клиентский путь – уровень 4,Идентификационный ключ направления деятельности,Направление деятельности банка,Поднаправление деятельности банка,Связь с ИБ-риском,Связь с риском информационных систем,Связь с поведенческим риском,Связь с модельным риском,Общая сумма всех последствий (руб.),Прямая потеря – итого (руб.),Прямая потеря – с кредитным риском (руб.),Прямая потеря – без кредитного риска (руб.),Косвенная потеря – итого (руб.),Косвенная потеря – с кредитным риском (руб.),Косвенная потеря – без кредитного риска (руб.),Нереализовавшаяся потеря – итого (руб.),Нереализовавшаяся потеря – с кредитным риском (руб.),Нереализовавшаяся потеря – без кредитного риска (руб.),Потеря третьих лиц – итого (руб.),Потеря третьих лиц – с кредитным риском (руб.),Потеря третьих лиц – без кредитного риска (руб.),Прибыль – итого (руб.),Прибыль – с кредитным риском (руб.),Прибыль – без кредитного риска (руб.),Возмещение – итого по инциденту (руб.)
9945103761218330730,EVE-5185086,Черновик,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-452260,AGR-429448,AGR-SID-660854,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-8709,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-907,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Дебетовые карты,Платежи и переводы,BA-104,Розничные банковские услуги,РКО ФЛ,N,N,N,Y,2905124.68,2905124.68,,2905124.68,,,,,,,,,,,,,1055785.28
5154788653212842496,EVE-5256457,Исследование,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-103221,AGR-495531,AGR-SID-927013,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6950,ПАО Сбербанк,Юго-Западный банк,Отделение,,,,,,,FB-964,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Депозиты ФЛ,Платежи и переводы,BA-483,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,Y,3328930.15,3328930.15,,3328930.15,,,,,,,,,,,,,934226.11
1645043710843917029,EVE-5249088,Утверждение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-268929,AGR-704618,AGR-SID-493914,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-1566,ПАО Сбербанк,Юго-Западный банк,Отделение,,,,,,,FB-267,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Потребительское кредитование,Платежи и переводы,BA-685,Розничные банковские услуги,РКО ФЛ,Y,N,Y,Y,1584595.75,1584595.75,,1584595.75,,,,,,,,,,,,,321342.28
6374020282508867158,EVE-5562405,Утверждение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Технические сбои,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-891123,AGR-426525,AGR-SID-640751,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4876,ПАО Сбербанк,Поволжский банк,Отделение,,,,,,,FB-904,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-754,Розничные банковские услуги,РКО ФЛ,N,Y,Y,Y,1626227.18,1626227.18,,1626227.18,,,,,,,,,,,,,179812.51
4751805895824067000,EVE-5098825,Утверждение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибки персонала,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-798155,AGR-307791,AGR-SID-966417,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6298,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-427,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Дебетовые карты,Платежи и переводы,BA-505,Розничные банковские услуги,РКО ФЛ,Y,Y,N,Y,1137225.82,1137225.82,,1137225.82,,,,,,,,,,,,,181290.24
5967515546214905046,EVE-5360614,Закрыт,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-874418,AGR-288908,AGR-SID-323016,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-9960,ПАО Сбербанк,Московский банк,Отделение,,,,,,,FB-565,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-220,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,N,3378192.59,3378192.59,,3378192.59,,,,,,,,,,,,,1074316.88
7013640526446694509,EVE-5848773,Утверждение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибки персонала,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-471891,AGR-194538,AGR-SID-497594,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4153,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-230,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-333,Розничные банковские услуги,РКО ФЛ,Y,N,N,N,4829406.74,4829406.74,,4829406.74,,,,,,,,,,,,,1184553.88
1215908799815343312,EVE-5818243,Возмещение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-526100,AGR-595577,AGR-SID-537296,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-9187,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-710,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Ипотечное кредитование,Платежи и переводы,BA-166,Розничные банковские услуги,РКО ФЛ,Y,N,Y,Y,,,,,,,,,,,,,,,,,
3694993644543602210,EVE-5170710,Возмещение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,3,REQ-802189,AGR-325773,AGR-SID-513849,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4479,ПАО Сбербанк,Сибирский банк,Отделение,,,,,,,FB-263,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Ипотечное кредитование,Платежи и переводы,BA-456,Розничные банковские услуги,РКО ФЛ,Y,N,N,N,1359710.89,1359710.89,,1359710.89,,,,,,,,,,,,,427997.64
2060306993633257400,EVE-5094515,Черновик,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-143550,AGR-970696,AGR-SID-417765,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-3207,ПАО Сбербанк,Юго-Западный банк,Отделение,,,,,,,FB-225,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-104,Розничные банковские услуги,РКО ФЛ,Y,Y,N,Y,1359386.95,1359386.95,,1359386.95,,,,,,,,,,,,,248490.14
9775806476970583786,EVE-5470135,Черновик,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,3,REQ-527862,AGR-234522,AGR-SID-244344,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-9778,ПАО Сбербанк,Волго-Вятский банк,Отделение,,,,,,,FB-308,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Потребительское кредитование,Платежи и переводы,BA-794,Розничные банковские услуги,РКО ФЛ,N,N,Y,Y,3324521.31,3324521.31,,3324521.31,,,,,,,,,,,,,395819.82
8775025888681953747,EVE-5037106,Исследование,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-962583,AGR-112919,AGR-SID-840107,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6113,ПАО Сбербанк,Сибирский банк,Отделение,,,,,,,FB-336,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-657,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,N,,,,,,,,,,,,,,,,,
2616785827414972020,EVE-5734315,Черновик,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Действия третьих лиц,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-392201,AGR-263556,AGR-SID-139834,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-3414,ПАО Сбербанк,Московский банк,Отделение,,,,,,,FB-968,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Ипотечное кредитование,Платежи и переводы,BA-632,Розничные банковские услуги,РКО ФЛ,N,Y,N,N,3033042.38,3033042.38,,3033042.38,,,,,,,,,,,,,412680.89
6699424809346295160,EVE-5468601,Исследование,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Действия третьих лиц,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-772202,AGR-675532,AGR-SID-434607,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6557,ПАО Сбербанк,Юго-Западный банк,Отделение,,,,,,,FB-721,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Потребительское кредитование,Платежи и переводы,BA-299,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,Y,3673313.23,3673313.23,,3673313.23,,,,,,,,,,,,,1150537.94
2564354235583624567,EVE-5476071,Возмещение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Технические сбои,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-337105,AGR-528288,AGR-SID-810821,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-1369,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-772,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-809,Розничные банковские услуги,РКО ФЛ,Y,N,Y,N,,,,,,,,,,,,,,,,,
6273878085876978384,EVE-5285242,Возмещение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-297364,AGR-662251,AGR-SID-978823,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-3970,ПАО Сбербанк,Среднерусский банк,Отделение,,,,,,,FB-932,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитные карты,Платежи и переводы,BA-625,Розничные банковские услуги,РКО ФЛ,Y,N,Y,N,1095544.56,1095544.56,,1095544.56,,,,,,,,,,,,,151767.18
2466758860689415332,EVE-5779188,Черновик,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Технические сбои,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-506148,AGR-958081,AGR-SID-200210,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4580,ПАО Сбербанк,Волго-Вятский банк,Отделение,,,,,,,FB-355,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Потребительское кредитование,Платежи и переводы,BA-668,Розничные банковские услуги,РКО ФЛ,N,Y,N,N,2160825.52,2160825.52,,2160825.52,,,,,,,,,,,,,462834.4
5353814435069597070,EVE-5683932,Закрыт,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-614339,AGR-323267,AGR-SID-402787,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-1330,ПАО Сбербанк,Среднерусский банк,Отделение,,,,,,,FB-280,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Ипотечное кредитование,Платежи и переводы,BA-180,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,N,4309047.9,4309047.9,,4309047.9,,,,,,,,,,,,,1430755.27
4342976214793306611,EVE-5780065,Утверждение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-480306,AGR-633422,AGR-SID-603909,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4409,ПАО Сбербанк,Волго-Вятский банк,Отделение,,,,,,,FB-633,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Депозиты ФЛ,Платежи и переводы,BA-616,Розничные банковские услуги,РКО ФЛ,N,N,N,N,,,,,,,,,,,,,,,,,
1191049679180029594,EVE-5473310,Утверждён,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-784574,AGR-307714,AGR-SID-776288,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6786,ПАО Сбербанк,Среднерусский банк,Отделение,,,,,,,FB-122,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Ипотечное кредитование,Платежи и переводы,BA-913,Розничные банковские услуги,РКО ФЛ,N,Y,Y,Y,,,,,,,,,,,,,,,,,
2283486253624933500,EVE-5136622,Закрыт,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Действия третьих лиц,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-858739,AGR-879521,AGR-SID-470885,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4437,ПАО Сбербанк,Северо-Западный банк,Отделение,,,,,,,FB-189,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитные карты,Платежи и переводы,BA-596,Розничные банковские услуги,РКО ФЛ,N,N,Y,Y,611806.13,611806.13,,611806.13,,,,,,,,,,,,,180805.53
8489111403124774783,EVE-5361812,Закрыт,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Технические сбои,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-129214,AGR-164607,AGR-SID-120257,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-2334,ПАО Сбербанк,Московский банк,Отделение,,,,,,,FB-487,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитные карты,Платежи и переводы,BA-557,Розничные банковские услуги,РКО ФЛ,Y,N,N,N,2732695.97,2732695.97,,2732695.97,,,,,,,,,,,,,638553.53
7551933306512231101,EVE-5007782,Возмещение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-143711,AGR-108612,AGR-SID-779204,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-5073,ПАО Сбербанк,Сибирский банк,Отделение,,,,,,,FB-696,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Потребительское кредитование,Платежи и переводы,BA-348,Розничные банковские услуги,РКО ФЛ,Y,Y,N,N,3567238.85,3567238.85,,3567238.85,,,,,,,,,,,,,1068551.36
6837603449150337702,EVE-5634504,Исследование,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибки персонала,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-502036,AGR-363644,AGR-SID-600945,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4795,ПАО Сбербанк,Волго-Вятский банк,Отделение,,,,,,,FB-545,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Депозиты ФЛ,Платежи и переводы,BA-317,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,Y,3191101.76,3191101.76,,3191101.76,,,,,,,,,,,,,1191737.08
9311038731542560872,EVE-5588877,Утверждение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибки персонала,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-819131,AGR-604417,AGR-SID-319086,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-8737,ПАО Сбербанк,Поволжский банк,Отделение,,,,,,,FB-715,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Потребительское кредитование,Платежи и переводы,BA-447,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,Y,,,,,,,,,,,,,,,,,
1482167687334513524,EVE-5195882,Возмещение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Действия третьих лиц,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,3,REQ-211386,AGR-230252,AGR-SID-198322,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-9460,ПАО Сбербанк,Северо-Западный банк,Отделение,,,,,,,FB-291,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-392,Розничные банковские услуги,РКО ФЛ,Y,N,Y,N,1610527.21,1610527.21,,1610527.21,,,,,,,,,,,,,321851.55
1369037532751916974,EVE-5615763,Утверждён,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-860317,AGR-112961,AGR-SID-922798,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6699,ПАО Сбербанк,Уральский банк,Отделение,,,,,,,FB-699,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-752,Розничные банковские услуги,РКО ФЛ,Y,N,N,N,4321389.71,4321389.71,,4321389.71,,,,,,,,,,,,,1012764.65
2093351748168264145,EVE-5226501,Утверждён,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-680754,AGR-744796,AGR-SID-830046,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-5143,ПАО Сбербанк,Северо-Западный банк,Отделение,,,,,,,FB-233,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-619,Розничные банковские услуги,РКО ФЛ,N,N,Y,N,,,,,,,,,,,,,,,,,
4848015006927565736,EVE-5917166,Утверждение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-267442,AGR-670164,AGR-SID-675467,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-3229,ПАО Сбербанк,Сибирский банк,Отделение,,,,,,,FB-507,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-592,Розничные банковские услуги,РКО ФЛ,N,N,Y,Y,4319543.71,4319543.71,,4319543.71,,,,,,,,,,,,,1338425.02
3657681494210128572,EVE-5133585,Возмещение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-496179,AGR-982940,AGR-SID-690918,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-5034,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-710,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-539,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,Y,2658522.95,2658522.95,,2658522.95,,,,,,,,,,,,,465350.07
2834238550653824367,EVE-5891330,Возмещение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-961932,AGR-371907,AGR-SID-689067,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4789,ПАО Сбербанк,Московский банк,Отделение,,,,,,,FB-950,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитные карты,Платежи и переводы,BA-936,Розничные банковские услуги,РКО ФЛ,Y,N,Y,Y,2821660.29,2821660.29,,2821660.29,,,,,,,,,,,,,949770.07
1661129074076154019,EVE-5348932,Возмещение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибки персонала,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,3,REQ-512648,AGR-280507,AGR-SID-248355,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4329,ПАО Сбербанк,Северо-Западный банк,Отделение,,,,,,,FB-739,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитные карты,Платежи и переводы,BA-112,Розничные банковские услуги,РКО ФЛ,N,Y,N,N,,,,,,,,,,,,,,,,,
9675836603712333300,EVE-5426336,Исследование,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,3,REQ-641648,AGR-216459,AGR-SID-480596,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-9526,ПАО Сбербанк,Поволжский банк,Отделение,,,,,,,FB-242,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Дебетовые карты,Платежи и переводы,BA-641,Розничные банковские услуги,РКО ФЛ,N,N,Y,N,3630741.63,3630741.63,,3630741.63,,,,,,,,,,,,,1418672.08
7987690380979291637,EVE-5258093,Утверждён,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-937421,AGR-771813,AGR-SID-494533,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4625,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-108,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитные карты,Платежи и переводы,BA-572,Розничные банковские услуги,РКО ФЛ,Y,N,Y,N,,,,,,,,,,,,,,,,,
9562780626404560748,EVE-5391971,Утверждён,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-616639,AGR-206281,AGR-SID-604962,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-8328,ПАО Сбербанк,Северо-Западный банк,Отделение,,,,,,,FB-823,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Депозиты ФЛ,Платежи и переводы,BA-943,Розничные банковские услуги,РКО ФЛ,N,Y,N,N,,,,,,,,,,,,,,,,,
